id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude,section_prefixe
2022-1591746,2022-10-20,1,Vente,299000.00,5,,LES LOGIS DE LA PIE,A085,94100,94068,Saint-Maur-des-Fossés,94,,,94068000DK0064,,,182,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.4768740,48.7878720,000DK
2022-1591746,2022-10-20,1,Vente,299000.00,5,,LES LOGIS DE LA PIE,A085,94100,94068,Saint-Maur-des-Fossés,94,,,94068000DK0064,,,15,64.91,85,,,,,,,,2,3,Dépendance,,0,,,,,,2.4768740,48.7878720,000DK
2022-1591766,2022-10-14,1,Vente,520000.00,17,,AV DE TUNIS,9185,94100,94068,Saint-Maur-des-Fossés,94,,,940680000R0195,,,,,,,,,,,,,0,1,Maison,58.00,2,S,sols,,,269.00,2.4833700,48.8078330,0000R
2022-1591766,2022-10-14,1,Vente,520000.00,17,,AV DE TUNIS,9185,94100,94068,Saint-Maur-des-Fossés,94,,,940680000R0195,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,269.00,2.4833700,48.8078330,0000R
2023-1279120,2023-10-16,1,Vente,950600.00,3,,RUE DANTON,2505,94100,94068,Saint-Maur-des-Fossés,94,,,94068000EF0089,,,,,,,,,,,,,0,1,Maison,168.00,9,S,sols,,,661.00,2.4960490,48.7932810,000EF
2023-1279127,2023-10-23,1,Vente,793950.00,17,,RUE BIR HAKEIM,0705,94100,94068,Saint-Maur-des-Fossés,94,,,94068000CY0113,,,,,,,,,,,,,0,1,Maison,107.00,4,S,sols,,,275.00,2.4782150,48.7965730,000CY
2023-1279159,2023-10-13,1,Vente,245000.00,98,,AV JEAN JAURES,4738,94100,94068,Saint-Maur-des-Fossés,94,,,94068000DR0118,,,1,47.52,,,,,,,,,1,2,Appartement,49.00,3,,,,,,2.4823950,48.7875260,000DR
2023-1279222,2023-10-25,1,Vente,27000.00,11,,BD DU GENERAL FERRIE,4168,94100,94068,Saint-Maur-des-Fossés,94,,,940680000L0182,,,26,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.4675730,48.8072080,0000L
2023-1279222,2023-10-25,1,Vente,27000.00,11,,BD DU GENERAL FERRIE,4168,94100,94068,Saint-Maur-des-Fossés,94,,,940680000L0182,,,27,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.4675730,48.8072080,0000L
2023-1279228,2023-10-20,1,Vente,525000.00,2,T,AV GEORGES GOUSSOT,4185,94100,94068,Saint-Maur-des-Fossés,94,,,94068000DL0209,,,,,,,,,,,,,0,1,Maison,83.00,3,S,sols,,,163.00,2.4785570,48.7887200,000DL
